482,5
121,253
463,441
36,297
474,129
132,402
276,262
483,380
239,472
388,214
369,340
172,315
131,370
16,395
421,343
94,454
199,425
220,346
123,108
61,131
385,28
261,370
130,76
134,132
105,59
431,399
203,348
370,125
131,373
477,416
251,202
260,280
148,182
379,249
467,5
404,56
31,121
232,15
397,292
1,190
173,487
242,63
134,256
273,312
201,341
422,329
350,465
121,108
378,84
379,190
186,63
276,316
457,329
140,483
275,359
262,480
371,215
203,79
55,469
410,465
179,135
247,448
363,44
289,136
430,397
350,76
50,338
70,302
438,437
311,205
443,105
275,272
269,287
130,51
20,224
422,474
426,105
386,218
444,236
357,73
302,277
284,409
171,371
233,307
33,272
443,358
399,467
373,489
304,381
146,355
97,337
448,497
172,37
461,461
454,411
308,10
171,469
81,140
440,39
333,54
416,233
420,183
126,45
395,255
351,312
51,458
5,1
147,67
338,323
161,343
454,292
405,366
7,468
90,416
83,250
62,284
63,348
460,217
472,496
251,46
116,145
261,14
395,85
121,287
304,185
158,418
453,270
209,375
111,91
20,141
439,300
464,308
116,465
419,435
288,61
492,381
405,227
163,126
364,137
367,174
37,320
24,376
127,30
246,233
407,239
178,101
162,181
177,44
285,463
183,57
208,2
376,337
151,401
85,358
437,154
487,219
422,259
164,287
456,288
233,201
5,429
71,438
214,224
467,46
474,118
450,120
28,84
60,144
178,255
279,184
460,447
311,315
266,437
408,337
438,5
9,320
432,209
10,437
326,465
73,177
149,333
437,134
247,211
335,407
203,347
216,4
172,94
265,60
272,400
450,209
402,445
312,464
347,275
66,293
368,464
401,369
65,163
303,183
218,344
379,179
241,320
354,288
456,106
63,215
85,209
2,425
350,425
328,164
154,26
333,221
406,425
333,322
115,314
250,373
433,251
79,9
154,130
469,273
245,59
57,169
472,116
433,486
158,332
172,457
99,200
192,379
368,59
10,213
139,217
475,185
283,242
319,136
295,345
207,169
77,268
151,320
250,302
353,4
358,9
215,415
390,178
69,333
499,334
488,297
194,416
435,351
178,20
56,389
212,488
449,441
235,467
270,435
187,452
164,455
386,418
434,95
300,217
301,416
226,245
443,96
406,316
47,312
298,70
427,32
224,74
338,480
476,498
234,409
33,386
85,352
278,123
124,82
128,107
307,76
57,383
348,154
179,391
165,367
291,35
4,459
151,207
449,444
241,66
477,350
130,389
326,115
412,426
10,2
447,354
191,465
268,126
214,130
243,443
250,131
113,212
119,242
170,306
265,145
202,382
415,129
209,283
282,190
129,400
238,299
24,223
260,127
459,494
485,69
460,343
433,334
345,117
329,495
25,200
184,304
471,191
150,298
489,278
335,152
500,18
375,457
210,378
1,58
385,479
260,201
312,203
155,477
326,158
149,93
194,79
423,232
421,239
146,74
17,250
287,282
33,405
418,167
380,399
228,68
19,327
433,279
91,318
74,384
254,473
357,308
257,69
418,115
207,147
320,384
283,174
189,421
493,52
224,205
168,209
391,424
286,228
399,162
211,392
333,215
72,33
379,318
306,16
115,118
212,497
468,16
148,55
34,401
482,122
166,500
227,224
160,476
347,191
113,40
172,23
414,246
450,413
349,419
55,307
145,313
96,90
298,259
455,158
17,123
384,133
348,99
404,259
335,25
190,97
407,490
100,3
120,58
389,187
205,58
122,117
273,439
262,351
136,1
464,226
487,11
237,256
253,444
160,219
491,161
282,151
235,218
417,376
463,285
430,240
18,226
114,169
479,233
23,112
162,419
62,170
426,208
51,234
336,49
491,234
128,432
172,365
136,379
450,8
495,197
82,106
156,131
212,10
311,58
167,436
188,323
66,213
22,445
386,435
395,382
499,470
379,340
377,464
208,261
179,282
33,21
193,35
191,36
272,287
220,171
131,310
342,226
8,492
442,98
228,244
493,353
169,382
354,173
46,4
492,151
182,312
3,29
238,208
271,141
105,358
